date,season,holiday,weekday,workingday,weather,temp,feeltemp,hum,windspeed,casual,registered,total
3/25/2011,Summer,0,5,1,1,24.70865738,20.66416052,58.085,13.15063283,300,1910,2210
3/26/2011,Summer,0,6,0,1,24.74554262,20.70612929,49.715861,11.94491829,981,1515,2496
3/27/2011,Summer,0,7,0,2,24.46237202,20.46505057,57.994779,10.5045471,472,1221,1693
3/28/2011,Summer,0,1,1,1,24.71266472,20.70622929,42.080442,12.09499139,222,1806,2028
3/29/2011,Summer,0,2,1,1,25.55735,21.88408818,43.075861,12.93809101,317,2108,2425
3/30/2011,Summer,0,3,1,2,25.502,22.03216225,70.673361,9.854097336,168,1368,1536
3/31/2011,Summer,0,4,1,3,24.80089262,20.70626263,93.221639,12.40516906,179,1506,1685
4/1/2011,Summer,0,5,1,2,25.502,21.56893909,73.95875,14.74557988,307,1920,2227
4/2/2011,Summer,0,6,0,2,25.8341,22.6417594,71.26125,11.23673056,898,1354,2252
4/3/2011,Summer,0,7,0,1,27.23629262,24.74619795,56.84,10.38559436,1651,1598,3249
4/4/2011,Summer,0,1,1,1,31.55359262,30.21853822,52.37875,21.97639029,734,2381,3115
4/5/2011,Summer,0,2,1,2,28.02965738,25.39899725,70.292889,22.1186548,167,1628,1795
4/6/2011,Summer,0,3,1,1,27.51304262,25.04091268,56.079139,14.99380181,413,2395,2808
4/7/2011,Summer,0,4,1,1,28.54625,26.57725616,67.042111,9.251297064,571,2570,3141
4/8/2011,Summer,0,5,1,2,26.29534262,22.93650747,86.40875,12.93786302,172,1299,1471
4/9/2011,Summer,0,6,0,2,26.44295,23.50486922,89.8325,7.585331751,879,1576,2455
4/10/2011,Summer,0,7,0,2,28.30640738,26.3452779,88.1725,8.365278699,1188,1707,2895
4/11/2011,Summer,0,1,1,2,32.04773528,30.9615087,76.507348,18.49404458,855,2493,3348
4/12/2011,Summer,0,2,1,2,29.98535,28.55595509,78.350861,15.66727836,257,1777,2034
4/13/2011,Summer,0,3,1,2,27.99275,26.03012881,84.990861,14.28441715,209,1953,2162
4/14/2011,Summer,0,4,1,1,29.21045,27.54550457,61.854611,6.3095679,529,2738,3267
4/15/2011,Summer,1,5,0,1,28.74920738,26.85116986,72.71375,12.90269588,642,2484,3126
4/16/2011,Summer,0,6,0,3,28.39864262,26.30377582,90.731639,19.42503358,121,674,795
4/17/2011,Summer,0,7,0,1,28.97060738,26.97727616,56.805389,17.29836151,1558,2186,3744
4/18/2011,Summer,0,1,1,1,30.20675,28.89237191,62.0275,9.322828299,669,2760,3429
4/19/2011,Summer,0,2,1,2,30.05914262,28.42941543,72.264139,9.003873087,409,2795,3204
4/20/2011,Summer,0,3,1,1,32.0333,30.93400732,67.975861,13.78899923,613,3331,3944
4/21/2011,Summer,0,4,1,1,29.02595738,27.25048982,50.787889,18.53873023,745,3444,4189
4/22/2011,Summer,0,5,1,2,26.31380738,22.85233659,77.555389,12.51203844,177,1506,1683
4/23/2011,Summer,0,6,0,2,29.0444,27.12478354,90.697111,13.15063283,1462,2574,4036
4/24/2011,Summer,0,7,0,2,31.73810738,30.51301961,84.299139,10.95339848,1710,2481,4191
4/25/2011,Summer,0,1,1,1,32.29160738,31.2709575,81.463361,10.563425,773,3300,4073
4/26/2011,Summer,0,2,1,1,32.84510738,31.92375681,77.520861,18.6095205,678,3722,4400
4/27/2011,Summer,0,3,1,2,32.5868,31.29235857,86.339611,17.7944634,547,3325,3872
4/28/2011,Summer,0,4,1,2,32.53145,31.41859822,75.169139,18.29079328,569,3489,4058
4/29/2011,Summer,0,5,1,1,30.1514,28.70292911,54.937889,13.68287081,878,3717,4595
4/30/2011,Summer,0,6,0,1,29.32115,27.58814004,58.776639,13.39856978,1965,3347,5312
5/1/2011,Summer,0,7,0,2,28.85990738,27.06088034,80.252889,6.061858938,1138,2213,3351
5/2/2011,Summer,0,1,1,2,31.01855738,29.88198806,77.59,10.45632764,847,3554,4401
5/3/2011,Summer,0,2,1,2,32.51300738,31.52360347,74.857889,19.530991,603,3848,4451
5/4/2011,Summer,0,3,1,2,28.02965738,25.60900775,78.177889,18.75178501,255,2378,2633
5/5/2011,Summer,0,4,1,1,29.02595738,26.8513032,53.865861,16.83645782,614,3819,4433
5/6/2011,Summer,0,5,1,1,29.46875738,27.9246902,65.97,13.00933726,894,3714,4608
5/7/2011,Summer,0,6,0,1,30.3728,29.20822104,61.92375,9.14516865,1612,3102,4714
5/8/2011,Summer,0,7,0,1,30.55729262,29.41863156,69.428361,4.254113588,1401,2932,4333
5/9/2011,Summer,0,1,1,1,30.64955,29.62907541,65.86625,10.031472,664,3698,4362
5/10/2011,Summer,0,2,1,1,30.64955,29.54490454,57.600861,6.592899987,694,4109,4803
5/11/2011,Summer,0,3,1,1,30.87095,29.734214,69.532111,6.876232074,550,3632,4182
5/12/2011,Summer,0,4,1,1,30.7049,29.56630561,79.0425,10.81045,695,4169,4864
5/13/2011,Summer,0,5,1,2,30.20675,28.5974905,88.656639,10.24378583,692,3413,4105
5/14/2011,Summer,0,6,0,2,30.39124262,28.80846772,93.5675,7.69174515,902,2507,3409
5/15/2011,Summer,0,7,0,2,31.31375,29.98756,88.967889,8.719344063,1582,2971,4553
5/16/2011,Summer,0,1,1,1,31.64585,30.47131752,82.397111,7.231266387,773,3185,3958
5/17/2011,Summer,0,2,1,2,31.29530738,30.07186422,86.547111,15.80834594,678,3445,4123
5/18/2011,Summer,0,3,1,2,31.037,29.69281193,89.21,11.48443952,536,3319,3855
5/19/2011,Summer,0,4,1,2,30.61264262,29.14558457,85.855389,6.167816361,735,3840,4575
5/20/2011,Summer,0,5,1,1,30.74180738,29.75561507,76.725389,7.125365961,909,4008,4917
5/21/2011,Summer,0,6,0,1,32.19935,31.18678663,69.013361,6.87668805,2258,3547,5805
5/22/2011,Summer,0,7,0,1,32.23625738,31.2709575,79.215389,8.436011976,1576,3084,4660
5/23/2011,Summer,0,1,1,2,32.84510738,31.79751716,84.23,13.32829247,836,3438,4274
5/24/2011,Summer,0,2,1,2,33.4724,32.28144136,78.489139,11.80362272,659,3833,4492
5/25/2011,Summer,0,3,1,1,33.49084262,32.63909257,74.78875,8.790818301,740,4238,4978
5/26/2011,Summer,0,4,1,1,34.54249262,33.94402448,73.2325,11.37899507,758,3919,4677
5/27/2011,Summer,0,5,1,1,33.95210738,33.35466168,71.26125,13.71798096,871,3808,4679
5/28/2011,Summer,0,6,0,1,33.38014262,32.53365397,77.555389,13.11455372,2001,2757,4758
5/29/2011,Summer,0,7,0,1,33.63845,32.63935925,84.95625,12.19382419,2355,2433,4788
5/30/2011,Summer,1,1,0,1,35.09599262,34.49085182,73.855,7.479431325,1549,2549,4098
5/31/2011,Summer,0,2,1,1,36.0185,36.30064231,69.843361,6.345419013,673,3309,3982
6/1/2011,Summer,0,3,1,2,35.77865738,36.15343495,73.197889,11.80362272,513,3461,3974
6/2/2011,Summer,0,4,1,1,34.6901,33.58580657,42.315,16.65948214,736,4232,4968
6/3/2011,Summer,0,5,1,1,32.5868,31.69207856,46.395861,14.42713764,898,4414,5312
6/4/2011,Summer,0,6,0,1,32.9189,31.94419116,54.86875,7.018724574,1869,3473,5342
6/5/2011,Summer,0,7,0,2,33.21409262,32.68116134,71.1575,7.905027924,1685,3221,4906
6/6/2011,Summer,0,1,1,1,33.87829262,32.84963643,66.8,6.947706312,673,3875,4548
6/7/2011,Summer,0,2,1,1,34.52405,33.98609325,66.627111,10.70449258,763,4070,4833
6/8/2011,Summer,0,3,1,1,36.03694262,36.36384547,68.632889,7.798158549,676,3725,4401
6/9/2011,Summer,0,4,1,2,36.75649262,37.37389597,64.171639,8.542881351,563,3352,3915
6/10/2011,Summer,0,5,1,1,35.5757,35.56423882,67.215,8.011156338,815,3771,4586
6/11/2011,Summer,0,6,0,1,34.9115,34.72239673,71.330389,8.82598545,1729,3237,4966
6/12/2011,Summer,0,7,0,1,34.19195,33.56523888,79.077111,9.322828299,1467,2993,4460
6/13/2011,Summer,0,1,1,1,32.9189,32.17613609,58.050389,17.40403395,863,4157,5020
6/14/2011,Summer,0,2,1,1,32.23625738,31.83918591,59.087889,15.34832315,727,4164,4891
6/15/2011,Summer,0,3,1,1,32.73440738,31.71277959,56.148361,9.570480264,769,4411,5180
6/16/2011,Summer,0,4,1,2,32.77129262,31.96585891,74.131639,11.76822759,545,3222,3767
6/17/2011,Summer,0,5,1,1,33.23255738,32.13376731,78.074139,8.152223913,863,3981,4844
6/18/2011,Summer,0,6,0,1,34.28420738,33.58620659,72.644611,6.805897776,1807,3312,5119
6/19/2011,Summer,0,7,0,2,34.33955738,33.64927641,72.333361,5.813694,1639,3105,4744
6/20/2011,Summer,0,1,1,2,32.9189,31.96585891,78.93875,8.861608575,699,3311,4010
6/21/2011,Fall,0,2,1,2,26.62334098,28.96282834,80.715028,7.354246025,774,4061,4835
6/22/2011,Fall,0,3,1,1,28.04399098,30.58033691,75.43,7.407438262,661,3846,4507
6/23/2011,Fall,0,4,1,2,27.90869098,30.58045207,75.079972,10.2688108,746,4044,4790
6/24/2011,Fall,0,5,1,1,27.79595902,29.50802457,64.159972,9.547297025,969,4022,4991
6/25/2011,Fall,0,6,0,1,27.0067,29.12598127,56.599972,9.011762571,1782,3420,5202
6/26/2011,Fall,0,7,0,1,26.6008,28.96233891,59.119972,4.065026433,1920,3385,5305
6/27/2011,Fall,0,1,1,2,26.66845,28.94434516,71.299972,4.626391588,854,3854,4708
6/28/2011,Fall,0,2,1,1,28.33715902,30.54374482,69.270028,6.204313283,732,3916,4648
6/29/2011,Fall,0,3,1,1,27.90869098,29.45346752,57.825028,11.25856482,848,4377,5225
6/30/2011,Fall,0,4,1,1,27.05180902,28.94446032,52.470028,7.968601312,1027,4488,5515
7/1/2011,Fall,0,5,1,1,27.75085,29.38074398,49.285,4.412246608,1246,4116,5362
7/2/2011,Fall,0,6,0,1,28.17929098,29.81679732,53.344972,4.947781062,2204,2915,5119
7/3/2011,Fall,0,7,0,2,27.59300902,29.85327425,73.33,9.841122858,2282,2367,4649
7/4/2011,Fall,1,1,0,2,27.86360902,29.76235543,69.585028,3.503687079,3065,2978,6043
7/5/2011,Fall,0,2,1,1,28.40480902,30.65257102,65.595028,5.429220258,1031,3634,4665
7/6/2011,Fall,0,3,1,1,27.6832,30.34437407,78.439972,6.445118883,784,3845,4629
7/7/2011,Fall,0,4,1,1,28.495,30.38001609,70.705,6.8457592,754,3838,4592
7/8/2011,Fall,0,5,1,2,27.39005902,29.90820557,79.665028,9.680772129,692,3348,4040
7/9/2011,Fall,0,6,0,1,28.04399098,29.72610882,67.170028,7.220383912,1988,3348,5336
7/10/2011,Fall,0,7,0,1,28.42735,30.47081975,64.579972,7.889436471,1743,3138,4881
7/11/2011,Fall,0,1,1,1,28.83325,31.61605716,69.409972,12.14077334,723,3363,4086
7/12/2011,Fall,0,2,1,1,29.69015902,31.88872725,62.970028,8.611122254,662,3596,4258
7/13/2011,Fall,0,3,1,1,28.40480902,30.45294116,69.060028,6.283865133,748,3594,4342
7/14/2011,Fall,0,4,1,1,26.62334098,28.88964416,56.005,10.34892167,888,4196,5084
7/15/2011,Fall,0,5,1,1,26.14979098,28.58064109,65.665,7.862001833,1318,4220,5538
7/16/2011,Fall,0,6,0,1,26.78120902,28.98059177,65.14,8.958914342,2418,3505,5923
7/17/2011,Fall,0,7,0,1,27.66065902,29.88949207,66.750028,10.53666403,2006,3296,5302
7/18/2011,Fall,0,1,1,1,28.40480902,30.87100075,70.705,9.279787804,841,3617,4458
7/19/2011,Fall,0,2,1,1,29.21660902,32.12492041,70.635028,5.6159306,752,3789,4541
7/20/2011,Fall,0,3,1,1,28.99109098,32.1068115,75.394972,4.894244817,644,3688,4332
7/21/2011,Fall,0,4,1,2,30.2539,34.39622109,74.065,9.547125021,632,3152,3784
7/22/2011,Fall,0,5,1,1,31.15589098,34.81439584,64.755028,5.7234331,562,2825,3387
7/23/2011,Fall,0,6,0,1,31.17845902,33.76042273,58,5.642634221,987,2298,3285
7/24/2011,Fall,0,7,0,1,30.6598,33.48812691,62.269972,7.274522171,1050,2556,3606
7/25/2011,Fall,0,1,1,1,28.31459098,31.36138082,79.594972,3.904847708,568,3272,3840
7/26/2011,Fall,0,2,1,1,29.08130902,30.67102541,61.429972,8.611294258,750,3840,4590
7/27/2011,Fall,0,3,1,1,29.1715,30.48930293,49.845028,7.889092463,755,3901,4656
7/28/2011,Fall,0,4,1,1,29.28425902,31.906721,64.999972,7.674775479,606,3784,4390
7/29/2011,Fall,0,5,1,1,30.88529098,33.23298993,61.57,7.488108138,670,3176,3846
7/30/2011,Fall,0,6,0,1,29.96075902,31.57958023,55.129972,7.247259537,1559,2916,4475
7/31/2011,Fall,0,7,0,1,30.00584098,31.61582684,56.389972,7.087123813,1524,2778,4302
8/1/2011,Fall,0,1,1,1,29.08130902,30.85277668,62.269972,6.738987717,729,3537,4266
8/2/2011,Fall,0,2,1,1,29.39699098,30.96157409,57.265,8.85175585,801,4044,4845
8/3/2011,Fall,0,3,1,2,27.99890902,30.18038623,71.23,5.830204583,467,3107,3574
8/4/2011,Fall,0,4,1,2,27.4126,29.74424652,79.63,8.47764715,799,3777,4576
8/5/2011,Fall,0,5,1,1,27.43514098,29.50756393,68.989972,7.942112696,1023,3843,4866
8/6/2011,Fall,0,6,0,2,27.59300902,30.07147366,79.42,9.81497825,1521,2773,4294
8/7/2011,Fall,0,7,0,1,28.29205,31.19825668,79.245028,8.664142487,1298,2487,3785
8/8/2011,Fall,0,1,1,1,28.9009,30.85251757,65.734972,8.263717175,846,3480,4326
8/9/2011,Fall,0,2,1,1,29.1715,31.45244359,63.915028,6.498354121,907,3695,4602
8/10/2011,Fall,0,3,1,1,28.94600902,30.32566057,51.630028,8.611294258,884,3896,4780
8/11/2011,Fall,0,4,1,1,27.61555,29.36228959,51.595,7.086392796,812,3980,4792
8/12/2011,Fall,0,5,1,1,27.36749098,29.43486918,50.86,5.401828621,1051,3854,4905
8/13/2011,Fall,0,6,0,2,26.75864098,29.19925182,77.284972,9.092733454,1504,2646,4150
8/14/2011,Fall,0,7,0,2,26.51060902,28.58113052,84.67,9.573441633,1338,2482,3820
8/15/2011,Fall,0,1,1,1,26.21744098,28.34444793,75.814972,8.985230954,775,3563,4338
8/16/2011,Fall,0,2,1,1,27.16454098,29.19864723,64.579972,10.16238333,721,4004,4725
8/17/2011,Fall,0,3,1,1,27.77339098,29.79845809,64.335028,6.177824667,668,4026,4694
8/18/2011,Fall,0,4,1,1,27.45770902,29.67140782,70.984972,10.02817721,639,3166,3805
8/19/2011,Fall,0,5,1,2,26.7361,28.83543259,76.725028,5.990383308,797,3356,4153
8/20/2011,Fall,0,6,0,1,27.07435,29.28959484,72.630028,4.492185467,1914,3277,5191
8/21/2011,Fall,0,7,0,1,27.43514098,30.05336475,80.68,10.69667075,1249,2624,3873
8/22/2011,Fall,0,1,1,1,26.91650902,28.98033266,55.48,11.90052675,833,3925,4758
8/23/2011,Fall,0,2,1,1,25.54094098,28.05366893,54.255028,6.310955763,1281,4614,5895
8/24/2011,Fall,0,3,1,1,26.42039098,28.76262268,66.82,10.88389711,949,4181,5130
8/25/2011,Fall,0,4,1,2,26.71355902,29.19913666,80.820028,9.066029833,435,3107,3542
8/26/2011,Fall,0,5,1,1,27.142,29.59871307,79.945,3.610471463,768,3893,4661
8/27/2011,Fall,0,6,0,2,26.6008,28.90265724,87.4,16.15190662,226,889,1115
8/28/2011,Fall,0,7,0,1,27.33301654,29.25973961,63.18826,13.10064166,1415,2919,4334
8/29/2011,Fall,0,1,1,1,25.42820902,28.10811082,62.584972,6.872634825,729,3905,4634
8/30/2011,Fall,0,2,1,1,25.49585902,27.72652816,62.059972,5.375469008,775,4429,5204
8/31/2011,Fall,0,3,1,1,25.96940902,28.19917359,66.225028,3.583415233,688,4370,5058
9/1/2011,Fall,0,4,1,1,25.9243,28.30857559,69.690028,6.097369796,783,4332,5115
9/2/2011,Fall,0,5,1,2,25.60859098,28.01742232,77.074972,6.017086929,875,3852,4727
9/3/2011,Fall,0,6,0,1,26.30765902,28.83520227,76.200028,7.969160325,1935,2549,4484
9/4/2011,Fall,0,7,0,1,27.39005902,29.76270091,78.334972,8.878287467,2521,2419,4940
9/5/2011,Fall,1,1,0,2,26.42039098,28.61734834,82.395028,9.146140696,1236,2115,3351
9/6/2011,Fall,0,2,1,3,22.8124,25.437608,90.504388,14.78989294,204,2506,2710
9/7/2011,Fall,0,3,1,3,24.41345902,26.27335291,93.034972,4.171991421,118,1878,1996
9/8/2011,Fall,0,4,1,3,25.35368578,26.59384319,94.92346,8.288356748,153,1689,1842
9/9/2011,Fall,0,5,1,2,25.789,27.27285534,91.425028,5.348421379,417,3127,3544
9/10/2011,Fall,0,6,0,1,26.0596,28.10822598,79.315,6.605297608,1750,3595,5345
9/11/2011,Fall,0,7,0,1,25.87919098,28.14470291,75.955,4.947437054,1633,3413,5046
9/12/2011,Fall,0,1,1,1,25.63605688,27.9403227,74.142616,3.823347913,690,4023,4713
9/13/2011,Fall,0,2,1,1,25.81154098,27.98131966,75.85,6.097713804,701,4062,4763
9/14/2011,Fall,0,3,1,1,26.42039098,28.653451,74.554972,7.1940673,647,4138,4785
9/15/2011,Fall,0,4,1,2,23.82715,26.54518809,75.570028,11.65954915,428,3231,3659
9/16/2011,Fall,0,5,1,2,20.89565902,23.89086525,65.595028,7.060033183,742,4018,4760
9/17/2011,Fall,0,6,0,2,21.50450902,24.38136048,76.339972,8.156214675,1434,3077,4511
9/18/2011,Fall,0,7,0,1,21.93295,24.72756023,74.38,7.674947483,1353,2921,4274
9/19/2011,Fall,0,1,1,2,23.06045902,25.85434325,73.96,6.525057742,691,3848,4539
9/20/2011,Fall,0,2,1,2,23.39870902,25.92752743,90.025,5.803156954,438,3203,3641
9/21/2011,Fall,0,3,1,2,24.3007,26.45484507,91.6,4.145477004,539,3813,4352
9/22/2011,Fall,0,4,1,2,25.20269098,26.58238477,91.774972,5.509503125,555,4240,4795
9/23/2011,Winter,0,5,1,2,16.80454208,16.5803875,97.47,4.074990033,258,2137,2395
9/24/2011,Winter,0,6,0,2,16.73894208,17.8616836,87.35,4.075853217,1776,3647,5423
9/25/2011,Winter,0,7,0,2,17.46054208,18.1109011,85.74,2.619668021,1544,3466,5010
9/26/2011,Winter,0,1,1,2,17.85414208,18.6079726,86.046636,5.7562893,684,3946,4630
9/27/2011,Winter,0,2,1,2,17.52614208,18.1681075,89.458364,6.144773829,477,3643,4120
9/28/2011,Winter,0,3,1,2,17.4824,18.1872874,86.085,7.728559371,480,3427,3907
9/29/2011,Winter,0,4,1,1,17.00134208,18.1677136,72.323364,8.989743117,653,4186,4839
9/30/2011,Winter,0,5,1,1,15.62374208,17.2683187,67.57,10.73649353,830,4372,5202
10/1/2011,Winter,0,6,0,2,11.5784,13.2697489,77.345,15.1990997,480,1949,2429
10/2/2011,Winter,0,7,0,2,10.17894208,11.2231051,80.833364,11.54445399,616,2302,2918
10/3/2011,Winter,0,1,1,2,10.90054208,12.6389938,77.996636,4.333898254,330,3240,3570
10/4/2011,Winter,0,2,1,1,13.52454208,15.0875974,73.32,10.70420215,486,3970,4456
10/5/2011,Winter,0,3,1,1,14.94585792,16.7322814,67.608364,9.21682275,559,4267,4826
10/6/2011,Winter,0,4,1,1,13.78694208,15.3168775,65.116636,7.017473046,639,4126,4765
10/7/2011,Winter,0,5,1,1,14.22425792,16.0434412,70.943364,1.164346008,949,4036,4985
10/8/2011,Winter,0,6,0,1,14.50854208,16.3112326,72.515,2.360972996,2235,3174,5409
